"FriendlyName","GUID"
"Microsoft 365 Business Basic EEA (no Teams)","System.Object[]"
"Microsoft 365 Business Premium","System.Object[]"
"Microsoft 365 Business Premium (no Teams)","System.Object[]"
"Microsoft 365 Business Premium Donation","System.Object[]"
"Microsoft 365 Business Premium EEA (no Teams)","System.Object[]"
"Microsoft 365 Business Standard","System.Object[]"
"Microsoft 365 Business Standard - Prepaid Legacy","System.Object[]"
"Microsoft 365 Business Standard (no Teams)","System.Object[]"
"Microsoft 365 Business Standard EEA (no Teams)","System.Object[]"
"Microsoft 365 Business Voice","System.Object[]"
"Microsoft 365 Business Voice (UK","System.Object[]"
"Microsoft 365 Business Voice (US)","System.Object[]"
"Microsoft 365 Business Voice (without Calling Plan)","System.Object[]"
"Microsoft 365 Business Voice (without Calling Plan) for US","System.Object[]"
"Microsoft 365 Copilot (Education Faculty)","System.Object[]"
"Microsoft 365 Copilot for Sales","System.Object[]"
"Microsoft 365 Domestic Calling Plan (120 minutes) - US","System.Object[]"
"Microsoft 365 E3","System.Object[]"
"Microsoft 365 E3 - Unattended License","System.Object[]"
"Microsoft 365 E3 (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E3 (no Teams)","System.Object[]"
"Microsoft 365 E3 EEA (no Teams)","System.Object[]"
"Microsoft 365 E3 EEA (no Teams) - Unattended License","System.Object[]"
"Microsoft 365 E3 EEA (no Teams) (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E3 Extra Features","System.Object[]"
"Microsoft 365 E3_USGOV_DOD","System.Object[]"
"Microsoft 365 E3_USGOV_GCCHIGH","System.Object[]"
"Microsoft 365 E5","System.Object[]"
"Microsoft 365 E5 (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E5 Compliance","System.Object[]"
"Microsoft 365 E5 Developer (without Windows and Audio Conferencing)","System.Object[]"
"Microsoft 365 E5 EEA (no Teams)","System.Object[]"
"Microsoft 365 E5 EEA (no Teams) (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E5 EEA (no Teams) with Calling Minutes","System.Object[]"
"Microsoft 365 E5 EEA (no Teams) without Audio Conferencing","System.Object[]"
"Microsoft 365 E5 EEA (no Teams) without Audio Conferencing (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E5 Security","System.Object[]"
"Microsoft 365 E5 Security for EMS E5","System.Object[]"
"Microsoft 365 E5 Suite features","System.Object[]"
"Microsoft 365 E5 with Calling Minutes","System.Object[]"
"Microsoft 365 E5 without Audio Conferencing","System.Object[]"
"Microsoft 365 E5 without Audio Conferencing (500 seats min)_HUB","System.Object[]"
"Microsoft 365 E5_USGOV_GCCHIGH","System.Object[]"
"Microsoft 365 F1","System.Object[]"
"Microsoft 365 F1 EEA (no Teams)","System.Object[]"
"Microsoft 365 F3","System.Object[]"
"Microsoft 365 F3 EEA (no Teams)","System.Object[]"
"Microsoft 365 F3 GCC","System.Object[]"
"Microsoft 365 F5 Compliance Add-on","System.Object[]"
"Microsoft 365 F5 Compliance Add-on AR (DOD)_USGOV_DOD","System.Object[]"
"Microsoft 365 F5 Compliance Add-on AR_USGOV_GCCHIGH","System.Object[]"
"Microsoft 365 F5 Compliance Add-on GCC","System.Object[]"
"Microsoft 365 F5 Security + Compliance Add-on","System.Object[]"
"Microsoft 365 F5 Security Add-on","System.Object[]"
"Microsoft 365 G3 - Unattended License for GCC","System.Object[]"
"Microsoft 365 G3 GCC","System.Object[]"
"Microsoft 365 GCC G5","System.Object[]"
"Microsoft 365 GCC G5 w/o WDATP/CAS Unified","System.Object[]"
"Microsoft 365 Lighthouse","System.Object[]"
"Microsoft 365 Security and Compliance for Firstline Workers","System.Object[]"
"Microsoft Azure Multi-Factor Authentication","System.Object[]"
"Microsoft Business Center","System.Object[]"
"Microsoft Cloud App Security","System.Object[]"
"Microsoft Cloud for Sustainability vTrial","System.Object[]"
"Microsoft Copilot for Microsoft 365","System.Object[]"
"Microsoft Copilot Studio","System.Object[]"
"Microsoft Copilot Studio for GCC","System.Object[]"
"Microsoft Copilot Studio User License","System.Object[]"
"Microsoft Copilot Studio User License for GCC","System.Object[]"
"Microsoft Copilot Studio User License for GCC High_USGOV_GCCHIGH","System.Object[]"
"Microsoft Copilot Studio Viral Trial","System.Object[]"
"Microsoft Copilot Studio_USGOV_GCCHIGH","System.Object[]"
"Microsoft Defender for Business","System.Object[]"
